Order ID,Order Date,Customer ID,Type,SKU,Category,Product Name,Unit Price,Qty,Total,Discount Code,Disc %,Payment,Source,City,State,Warehouse,Del Date,Status,Return?,Reason,Ret Rec,Refund
UT-100001,2024-10-01,CUST_10001,New,TOP-CAS-M,Tops,Classic Cotton Tee,1299,2,2598,,0,UPI,Website,Mumbai,Maharashtra,Mumbai,2024-10-05,Delivered,No,,,Not Applicable
UT-100002,2024-10-01,CUST_10002,Returning,DRS-FRM-S,Dresses,Floral Midi Dress,2499,1,2499,DIWALI20,20,Credit Card,Mobile App,Delhi,Delhi,Delhi,2024-10-04,Delivered,Yes,Size Issue,2024-10-15,Processed
UT-100003,2024-01-10,CUST_10003,new,BOT-JNS-L,Bottoms,Slim Fit Jeans,1899,1,1899,,0,COD,Website,Bangalore,Karnataka,Bangalore,2024-10-06,Delivered,No,,,Not Applicable
UT-100004,2024-10-01,CUST_10004,New,OUT-JKT-XL,Outerwear,Denim Jacket,3499,1,3499,FIRST15,15,Debit Card,Instagram Shop,Chennai,Tamil Nadu,Mumbai,2024-10-08,Delivered,Yes,Quality Defect,2024-10-20,Processed
UT-100005,2024-10-01,CUST_10001,New,ACC-SCF-OS,Accessories,Silk Scarf,799,3,2397,,0,UPI,Website,Mumbai,Maharashtra,Mumbai,2024-10-06,Delivered,No,,,Not Applicable
UT-100006,2024-10-02,CUST_10005,Returning,TOP-FRM-S,Tops,Printed Blouse,1599,2,3198,,0,Credit Card,Mobile App,Hyderabad,Telangana,Bangalore,2024-10-07,Delivered,Yes,Changed Mind,2024-10-18,Processed
UT-100007,2024-10-02,CUST_10006,New,DRS-CAS-M,Dresses,A-Line Dress,2199,1,2199,DIWALI20,20,COD,Website,Pune,Maharashtra,Mumbai,,Cancelled,No,,,Not Applicable
UT-100008,2024-10-02,CUST_10007,New,BOT-TRS-L,Bottoms,Formal Trousers,2299,1,2299,,0,UPI,Mobile App,Kolkata,West Bengal,Delhi,2024-10-10,Delivered,No,,,Not Applicable
UT-100009,2024-10-02,CUST_10008,Returning,TOP-CAS-XL,Tops,Oversized Tee,1399,5,6995,,0,Credit Card,Website,Ahmedabad,Gujarat,Mumbai,2024-10-09,Delivered,Yes,Size Issue,2024-10-22,Processed
UT-100010,2024-10-02,CUST_10009,New,OUT-BLZ-M,Outerwear,Casual Blazer,4999,-1,4999,,0,Debit Card,Instagram Shop,Jaipur,Rajasthan,Delhi,2024-10-11,Delivered,Yes,Wrong Item,2024-10-25,Pending
UT-100011,2024-10-03,CUST_10010,New,ACC-BAG-OS,Accessories,Tote Bag,1299,2,2598,FLAT10,10,Wallet,Website,Lucknow,Uttar Pradesh,Delhi,2024-10-10,Delivered,No,,,Not Applicable
UT-100012,2024-10-03,CUST_10011,New,DRS-PRT-S,Dresses,Party Dress,3299,1,3299,,0,COD,Mobile App,Chandigarh,Punjab,Delhi,,RTO,No,,,Not Applicable
UT-100013,2024-10-03,CUST_10012,Returning,TOP-SLK-M,Tops,Silk Blouse,2499,1,2499,,0,Credit Card,Website,Mumbai,Maharashtra,Mumbai,2024-10-09,Delivered,No,,,Not Applicable
UT-100014,2024-10-03,CUST_10013,New,BOT-SKT-S,Bottoms,Pleated Skirt,1799,2,3598,DIWALI20,20,UPI,Instagram Shop,Delhi,Delhi,Delhi,2024-10-11,Delivered,Yes,Size Issue,2024-10-28,Processed
UT-100015,2024-10-03,CUST_10014,New,OUT-CRD-L,Outerwear,Knit Cardigan,2799,1,2799,,0,Debit Card,Mobile App,Bangalore,Karnataka,Bangalore,2024-10-12,Delivered,No,,,Not Applicable
UT-100016,2024-10-04,CUST_10015,Returning,ACC-JWL-OS,Accessories,Statement Earrings,599,4,2396,,0,COD,Website,Noida,Uttar Pradesh,Delhi,2024-10-14,Delivered,Yes,Damaged in Transit,2024-10-26,Processed
UT-100017,2024-10-04,CUST_10016,New,TOP-CRP-XS,Tops,Crop Top,999,1,999,FIRST15,15,UPI,Mobile App,Gurgaon,Haryana,Delhi,2024-10-12,Delievered,No,,,Not Applicable
UT-100018,2024-10-04,CUST_10017,New,DRS-MAX-M,Dresses,Maxi Dress,2899,1,2899,,0,Credit Card,Website,Indore,Madhya Pradesh,Mumbai,2024-10-14,Delivered,No,,,Not Applicable
UT-100019,2024-10-04,CUST_10018,Returning,BOT-JGR-M,Bottoms,Joggers,1499,2,2998,,0,Wallet,Instagram Shop,Surat,Gujarat,Mumbai,2024-10-13,Delivered,Yes,Size Issue,2024-10-30,Processed
UT-100020,2024-10-05,CUST_10019,New,OUT-VST-S,Outerwear,Puffer Vest,3999,1,3999,DIWALI20,20,COD,Website,Patna,Bihar,Delhi,,RTO,No,,,Not Applicable
UT-100021,2024-10-05,CUST_10020,New,TOP-TUN-L,Tops,Tunic Top,1699,1,1699,,0,UPI,Mobile App,Bhopal,Madhya Pradesh,Mumbai,2024-10-15,Delivered,No,,,Not Applicable
UT-100022,2024-10-05,CUST_10021,Returning,DRS-SHT-XS,Dresses,Shirt Dress,2399,1,2399,,0,Credit Card,Website,Nagpur,Maharashtra,Mumbai,2024-10-16,Delivered,Yes,Quality Defect,2024-11-02,Processed
UT-100023,2024-10-05,CUST_10022,New,ACC-BLT-M,Accessories,Leather Belt,899,1,899,FLAT10,10,Debit Card,Mobile App,Coimbatore,Tamil Nadu,Bangalore,2024-10-17,Delivered,No,,,Not Applicable
UT-100024,2024-10-06,CUST_10023,New,BOT-SHT-M,Bottoms,Cotton Shorts,1199,3,3597,,0,COD,Instagram Shop,Kochi,Kerala,Bangalore,2024-10-18,Delivered,Yes,Changed Mind,2024-11-05,Processed
UT-100025,2024-10-06,CUST_10024,New,TOP-PLO-L,Tops,Polo Shirt,1799,2,3598,,0,UPI,Website,Vizag,Andhra Pradesh,Bangalore,2024-10-17,Delivered,No,,,Not Applicable
UT-100026,2024-10-06,CUST_10025,New,DRS-WRK-M,Dresses,Work Dress,2699,1,2699,,0,Credit Card,Mobile App,Thiruvananthapuram,Kerala,Bangalore,2024-10-18,Delivered,No,,,Not Applicable
UT-100027,2024-10-06,CUST_10026,Returning,OUT-TRN-L,Outerwear,Trench Coat,4599,1,4599,FLAT10,10,Debit Card,Website,Mysore,Karnataka,Bangalore,2024-10-19,Delivered,Yes,Size Issue,2024-11-08,Processed
UT-100028,2024-10-07,CUST_10027,New,ACC-HAT-OS,Accessories,Fedora Hat,1099,1,1099,,0,UPI,Instagram Shop,Vadodara,Gujarat,Mumbai,2024-10-20,Delivered,No,,,Not Applicable
UT-100029,2024-10-07,CUST_10028,New,TOP-DNM-M,Tops,Denim Shirt,1899,1,1899,,0,COD,Mobile App,Rajkot,Gujarat,Mumbai,,RTO,No,,,Not Applicable
UT-100030,2024-10-07,CUST_10029,New,BOT-CRG-L,Bottoms,Cargo Pants,2199,1,2199,DIWALI20,20,Credit Card,Website,Kanpur,Uttar Pradesh,Delhi,2024-10-20,Delivered,No,,,Not Applicable
UT-100031,2024-10-07,CUST_10030,Returning,DRS-EVE-S,Dresses,Evening Gown,5499,1,5499,,0,Credit Card,Mobile App,Mumbai,Maharashtra,Mumbai,2024-10-21,Delivered,Yes,Size Issue,2024-11-10,Processed
UT-100032,2024-10-08,CUST_10031,New,TOP-BAS-M,Tops,Basic Tank,899,2,1798,,0,UPI,Website,Delhi,Delhi,Delhi,2024-10-14,Delivered,No,,,Not Applicable
UT-100033,2024-10-08,CUST_10032,New,OUT-WOL-L,Outerwear,Wool Coat,6999,1,6999,FIRST15,15,Debit Card,Instagram Shop,Kolkata,West Bengal,Delhi,2024-10-16,Delivered,Yes,Quality Defect,2024-11-05,Processed
UT-100034,2024-10-08,CUST_10033,Returning,ACC-WCH-OS,Accessories,Fashion Watch,2999,1,2999,,0,Credit Card,Mobile App,Chennai,Tamil Nadu,Bangalore,2024-10-15,Delivered,No,,,Not Applicable
UT-100035,2024-10-08,CUST_10034,New,BOT-DNM-S,Bottoms,Denim Shorts,1599,1,1599,,0,COD,Website,Hyderabad,Telangana,Bangalore,2024-10-17,Delivered,Yes,Size Issue,2024-11-08,Processed
UT-100036,2024-10-09,CUST_10035,New,DRS-SUN-M,Dresses,Sundress,1999,1,1999,DIWALI20,20,Wallet,Mobile App,Pune,Maharashtra,Mumbai,2024-10-16,Delivered,No,,,Not Applicable
UT-100037,2024-10-09,CUST_10036,New,TOP-RFL-S,Tops,Ruffle Top,1799,1,1799,,0,UPI,Instagram Shop,Ahmedabad,Gujarat,Mumbai,2024-10-17,Delivered,Yes,Changed Mind,2024-11-12,Processed
UT-100038,2024-10-09,CUST_10037,Returning,OUT-LTH-M,Outerwear,Leather Jacket,7999,1,7999,,0,Credit Card,Website,Jaipur,Rajasthan,Delhi,2024-10-18,Delivered,No,,,Not Applicable
UT-100039,2024-10-09,CUST_10038,New,ACC-SNG-OS,Accessories,Sunglasses,1499,1,1499,FLAT10,10,Debit Card,Mobile App,Lucknow,Uttar Pradesh,Delhi,2024-10-17,Delivered,No,,,Not Applicable
UT-100040,2024-10-10,CUST_10039,New,BOT-PLZ-L,Bottoms,Palazzo Pants,1699,1,1699,,0,COD,Website,Bangalore,Karnataka,Bangalore,2024-10-19,Delivered,Yes,Size Issue,2024-11-10,Processed
UT-100041,2024-10-10,CUST_10040,New,DRS-BDC-S,Dresses,Bodycon Dress,2299,1,2299,,0,UPI,Instagram Shop,Mumbai,Maharashtra,Mumbai,2024-10-18,Delivered,No,,,Not Applicable
UT-100042,2024-10-10,CUST_10041,Returning,TOP-OFF-M,Tops,Off-Shoulder Top,1599,2,3198,DIWALI20,20,Credit Card,Mobile App,Delhi,Delhi,Delhi,2024-10-17,Delivered,Yes,Wrong Item,2024-11-08,Processed
UT-100043,2024-10-10,CUST_10042,New,OUT-DNM-L,Outerwear,Denim Vest,2499,1,2499,,0,Wallet,Website,Chandigarh,Punjab,Delhi,2024-10-20,Delivered,No,,,Not Applicable
UT-100044,2024-10-11,CUST_10043,New,ACC-HBG-OS,Accessories,Hobo Bag,1899,1,1899,,0,Debit Card,Instagram Shop,Noida,Uttar Pradesh,Delhi,2024-10-21,Delivered,Yes,Damaged in Transit,2024-11-12,Processed
UT-100045,2024-10-11,CUST_10044,New,BOT-CHP-M,Bottoms,Chino Pants,1999,1,1999,FIRST15,15,UPI,Mobile App,Gurgaon,Haryana,Delhi,2024-10-19,Delivered,No,,,Not Applicable
UT-100046,2024-10-11,CUST_10045,Returning,DRS-WRP-M,Dresses,Wrap Dress,2599,1,2599,,0,Credit Card,Website,Indore,Madhya Pradesh,Mumbai,2024-10-20,Delivered,No,,,Not Applicable
UT-100047,2024-10-11,CUST_10046,New,TOP-STR-S,Tops,Striped Tee,1299,1,1299,,0,COD,Instagram Shop,Surat,Gujarat,Mumbai,,RTO,No,,,Not Applicable
UT-100048,2024-10-12,CUST_10047,New,OUT-PRK-XL,Outerwear,Parka Jacket,5999,1,5999,DIWALI20,20,Credit Card,Mobile App,Patna,Bihar,Delhi,2024-10-22,Delivered,Yes,Size Issue,2024-11-15,Processed
UT-100049,2024-10-12,CUST_10048,New,ACC-EAR-OS,Accessories,Hoop Earrings,799,2,1598,,0,UPI,Website,Bhopal,Madhya Pradesh,Mumbai,2024-10-20,Delivered,No,,,Not Applicable
